id,event_type,latitude,longitude,endlatitude,endlongitude,address,end_address,event_cause,requires_road_closure,start_datetime,end_datetime,status,authenticated,modified_datetime,map_file,direction,description,veh_type,veh_no,corridor,priority,cargo_material,reason_breakdown,age_of_truck,created_date,route_path,client_id,created_by_id,last_modified_by_id,assigned_to_police_id,citizen_accident_id,comment,police_station,meta_data,kgid,resolved_at_address,resolved_at_latitude,resolved_at_longitude,closed_by_id,closed_datetime,resolved_by_id,resolved_datetime,gba_identifier,zone,junction,duration_min,duration_bucket,hour,day_of_week,month,is_weekend,is_night,minutes_since_midnight,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,created_hour,created_day_of_week,report_delay_min,desc_word_count,desc_char_count,kw_fire,kw_spill,kw_overturned,kw_injury,kw_block,kw_heavy,kw_normal,kw_tow,kw_breakdown,desc_urgency_score,latitude_num,longitude_num,dist_from_center,has_end_coord,incident_span_km_clean,closure_flag,priority_weight,rush_hour_flag,rush_hour_x_closure,high_priority_x_closure,corridor_cause,police_junction,address_text,layer1_critical_flag,event_mode,authenticated_flag,pred_duration_bucket,impact_score,Severity,Mode,Manpower,Barricading,Diversion,Action_Window
FKID000113,unplanned,13.0331905,77.5901915,0.0,0.0,"Anand Nagar Main Road, AGS Layout, Anand Nagar, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",,construction,False,2024-03-07 22:40:56.720000+00:00,,closed,no,2024-03-08 07:46:19.124746+00,,,keb cable work @anand [PERSON],,,Bellary Road 1,High,,,,2024-03-07 22:41:58.865738+00:00,,1,FKUSR00089,FKUSR00001,,,,Hebbala,,FKKG000083,,,,FKUSR00089,2024-03-08 07:46:19.124181+00:00,,,,,,545.3734030166667,2hr+,22,3,3,0,1,1360,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,22,3,1.0357623,5,30,0,0,0,0,0,0,0,0,0,0,13.0331905,77.5901915,6.854036141906555,0,0.0,0,3,0,0,0,Bellary Road 1|construction,Hebbala|MISSING,"Anand Nagar Main Road, AGS Layout, Anand Nagar, Hebbal, Bengaluru, Karnataka. Pin-560024 (India) ",0,planned,0,2hr+,1,CRITICAL,Planned Event,Pre-deploy 4 Officers + 1 Sub-Inspector,Full Lane Barricading — Deploy 6 hours before event,Activate Pre-planned Diversion Route,Proactive — Deploy before event start
FKID000166,planned,13.1511992,77.620242,0.0,0.0,"Bengaluru Bellary Road, Hunsemarrenhalli Junction, Hunasamaranahalli, Bengaluru, Karnataka. Pin-562157 (India)",,construction,False,2024-02-01 00:08:01.156000+00:00,2024-02-01 06:07:46+00,closed,yes,2024-02-01 00:39:55.772208+00,,,"ನಮಸ್ತೆ ಸರ್, ಟೊಯೋಟಾ ಶೋರೂಮ್ ಹತ್ತಿರ ಟುವರ್ಡ್ಸ್ ಬೆಂಗಳೂರು ಸಿಟಿ ಕಡೆ ರೋಡ್  ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದರಿಂದ ಟ್ರಾಫಿಕ್ ಮೂಮೆಂಟ್ಸ್ ಸ್ಲೋ  ಆಗಿರುತ್ತದೆ",,,Bellary Road 2,High,,,,2024-02-01 00:13:06.270526+00:00,,1,FKUSR00132,FKUSR00001,,,,Chikkajala,,FKKG000126,,,,FKUSR00132,2024-02-01 00:39:55.771653+00:00,,,,,,31.910260883333333,30min-2hr,0,3,2,0,1,8,0.0,1.0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0,3,5.0852421,16,123,0,0,0,0,0,0,0,0,0,0,13.1511992,77.620242,20.137671518275724,0,0.0,0,3,0,0,0,Bellary Road 2|construction,Chikkajala|MISSING,"Bengaluru Bellary Road, Hunsemarrenhalli Junction, Hunasamaranahalli, Bengaluru, Karnataka. Pin-562157 (India) ",0,planned,0,2hr+,1,CRITICAL,Planned Event,Pre-deploy 4 Officers + 1 Sub-Inspector,Full Lane Barricading — Deploy 6 hours before event,Activate Pre-planned Diversion Route,Proactive — Deploy before event start
FKID000199,unplanned,13.16120295,77.62691818,0.0,0.0,"Vidya Nagar Cross Road, Vidyanagar Junction, Chikkajala, Bengaluru, Karnataka. Pin-562157 (India)",,construction,False,2024-02-01 04:22:39.844000+00:00,,closed,yes,2024-02-01 05:23:27.74769+00,,,Road work,,,Bellary Road 2,High,,,,2024-02-01 04:23:52.841044+00:00,,1,FKUSR00153,FKUSR00001,,,,Chikkajala,,FKKG000147,,,,FKUSR00153,2024-02-01 05:23:27.747063+00:00,,,,,,60.798384383333335,30min-2hr,4,3,2,0,1,262,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,4,3,1.2166174,2,9,0,0,0,0,0,0,0,0,0,0,13.16120295,77.62691818,21.349471012657325,0,0.0,0,3,0,0,0,Bellary Road 2|construction,Chikkajala|MISSING,"Vidya Nagar Cross Road, Vidyanagar Junction, Chikkajala, Bengaluru, Karnataka. Pin-562157 (India) ",0,planned,0,2hr+,1,CRITICAL,Planned Event,Pre-deploy 4 Officers + 1 Sub-Inspector,Full Lane Barricading — Deploy 6 hours before event,Activate Pre-planned Diversion Route,Proactive — Deploy before event start
FKID000857,unplanned,12.936298,77.7054278,0.0,0.0,"Panathur Main Road, Panathur, Bengaluru, Karnataka. Pin-560087 (India)",,construction,False,2024-02-10 04:28:53.826000+00:00,,closed,yes,2024-02-10 20:38:12.3544+00,,,kptcl work at panattur main road towards kadubeesanahalli sir.traffic slow moving sir.single line traffic moving sir,,,Non-corridor,Low,,,,2024-02-10 04:33:46.988039+00:00,,1,FKUSR00542,FKUSR00001,,,,HAL Old Airport,,FKKG000531,,,,FKUSR00542,2024-02-10 20:38:12.353844+00:00,,,,,,969.3087973999999,2hr+,4,5,2,1,1,268,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,4,5,4.886033983333333,16,116,0,0,0,0,0,0,0,1,0,1,12.936298,77.7054278,12.910894969006346,0,0.0,0,1,0,0,0,Non-corridor|construction,HAL Old Airport|MISSING,"Panathur Main Road, Panathur, Bengaluru, Karnataka. Pin-560087 (India) ",0,planned,0,2hr+,1,CRITICAL,Planned Event,Pre-deploy 4 Officers + 1 Sub-Inspector,Full Lane Barricading — Deploy 6 hours before event,Activate Pre-planned Diversion Route,Proactive — Deploy before event start
FKID000905,unplanned,12.9362566,77.7054884,0.0,0.0,"Panathur Main Road, Vandana Tejyesh, Varthur Hobli, Panathur, Bengaluru, Karnataka. Pin-560087 (India)",,construction,False,2024-02-10 20:07:04.223000+00:00,,closed,yes,2024-02-11 02:13:43.552961+00,,,KPTCL Cable work progressing at panattur railway bridge in fornt of  vandana tejas appartment both side traffic slow movement it causing traffic connection sir,,,Non-corridor,Low,,,,2024-02-10 20:12:08.202626+00:00,,1,FKUSR00563,FKUSR00001,,,,HAL Old Airport,,FKKG000552,,,,FKUSR00563,2024-02-11 02:13:43.552209+00:00,,,,,,366.65548681666667,2hr+,20,5,2,1,0,1207,-0.866025403784439,0.49999999999999933,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,20,5,5.0663271,24,159,0,0,0,0,0,0,0,0,0,0,12.9362566,77.7054884,12.91869921267611,0,0.0,0,1,1,0,0,Non-corridor|construction,HAL Old Airport|MISSING,"Panathur Main Road, Vandana Tejyesh, Varthur Hobli, Panathur, Bengaluru, Karnataka. Pin-560087 (India) ",0,planned,0,2hr+,1,CRITICAL,Planned Event,Pre-deploy 4 Officers + 1 Sub-Inspector,Full Lane Barricading — Deploy 6 hours before event,Activate Pre-planned Diversion Route,Proactive — Deploy before event start
FKID000952,unplanned,12.8980183,77.626445,0.0,0.0,"Begur Main Road, Krishna Reddy Layout, Hongasandra, Bengaluru, Karnataka. Pin-560068 (India)",,procession,False,2024-02-11 08:06:14.594000+00:00,,closed,yes,2024-02-11 08:42:46.871576+00,,,ಬೇಗೂರು ರೋಡ್ ಆಂಜನೇಯ ದೇವಸ್ಥಾನದಲ್ಲಿ ಪಲ್ಲಕ್ಕಿ ಉತ್ಸವ ಇರುವುದರಿಂದ ಬೊಮ್ಮನಹಳ್ಳಿ ಯಿಂದ ಬೇಗೂರು ಸಂಚಾರ ನಿಧಾನಗತಿಯಲ್ಲಿ ಇರುತ್ತದೆ ಸರ್,,,Non-corridor,Low,,,,2024-02-11 08:09:47.982699+00:00,,1,FKUSR00553,FKUSR00001,,,,Madiwala,,FKKG000542,,,,FKUSR00553,2024-02-11 08:42:46.871021+00:00,,,,,,36.537950349999996,30min-2hr,8,6,2,1,0,486,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,8,6,3.556478316666667,14,115,0,0,0,0,0,0,0,0,0,0,12.8980183,77.626445,8.89966033965612,0,0.0,0,1,1,0,0,Non-corridor|procession,Madiwala|MISSING,"Begur Main Road, Krishna Reddy Layout, Hongasandra, Bengaluru, Karnataka. Pin-560068 (India) ",0,planned,0,2hr+,1,CRITICAL,Planned Event,Pre-deploy 4 Officers + 1 Sub-Inspector,Full Lane Barricading — Deploy 6 hours before event,Activate Pre-planned Diversion Route,Proactive — Deploy before event start
FKID000956,planned,12.8897429,77.5634232,0.0,0.0,"Canara Bank Cross Road, Konanakunte Junction, Konanakunte, Bengaluru, Karnataka. Pin-560062 (India)",,procession,False,2024-02-11 08:52:04.910000+00:00,2024-02-11 10:05:46+00,closed,yes,2024-02-11 09:21:11.433206+00,,,due to [LOCATION] festival outgoing and  incoming traffic slow movement,,,Non-corridor,Low,,,,2024-02-11 08:54:50.866034+00:00,,1,FKUSR00588,FKUSR00001,,,,K.S. Layout,,FKKG000576,,,,FKUSR00588,2024-02-11 09:21:11.432724+00:00,,,,,,29.108712066666666,<30min,8,6,2,1,0,532,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,8,6,2.7659339,10,71,0,0,0,0,0,0,0,0,0,0,12.8897429,77.5634232,9.722850897686628,0,0.0,0,1,1,0,0,Non-corridor|procession,K.S. Layout|MISSING,"Canara Bank Cross Road, Konanakunte Junction, Konanakunte, Bengaluru, Karnataka. Pin-560062 (India) ",0,planned,0,2hr+,1,CRITICAL,Planned Event,Pre-deploy 4 Officers + 1 Sub-Inspector,Full Lane Barricading — Deploy 6 hours before event,Activate Pre-planned Diversion Route,Proactive — Deploy before event start
FKID001178,unplanned,13.0483105,77.6452213,0.0,0.0,"Hennur Main Road, Geddalahalli, Bengaluru, Karnataka. Pin-560077 (India)",,construction,False,2024-03-13 20:03:19.155000+00:00,,closed,yes,2024-03-14 02:09:12.309239+00,,,ಸರ್ ನಮಸ್ತೆ ಹೆಣ್ಣೂರು ಬಾಗಲೂರು ಮುಖ್ಯ ರಸ್ತೆಯಲ್ಲಿ ವೈಟ್ ಟಾಪಿಂಗ್ ಕಾಮಗಾರಿ ನಡೆಯುತ್ತಿರುವರಿಂದ ಗೆದ್ದಲಳ್ಳಿ ಬಸ್ ಸ್ಟಾಪ್ ಹತ್ತಿರ ವಾಹನಗಳ ಸಂಚಾರವು ನಿಧಾನಗತಿಯಲ್ಲಿ ಸಾಗುತ್ತಿದೆ ಸರ್,,,Non-corridor,Low,,,,2024-03-13 20:04:34.012219+00:00,,1,FKUSR00694,FKUSR00001,,,,Hennuru,,FKKG000678,,,,FKUSR00694,2024-03-14 02:09:11.780796+00:00,,,,,,365.8770966,2hr+,20,2,3,0,0,1203,-0.866025403784439,0.49999999999999933,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,20,2,1.2476203166666666,19,155,0,0,0,0,0,0,0,0,0,0,13.0483105,77.6452213,10.20174956993979,0,0.0,0,1,1,0,0,Non-corridor|construction,Hennuru|MISSING,"Hennur Main Road, Geddalahalli, Bengaluru, Karnataka. Pin-560077 (India) ",0,planned,0,2hr+,1,CRITICAL,Planned Event,Pre-deploy 4 Officers + 1 Sub-Inspector,Full Lane Barricading — Deploy 6 hours before event,Activate Pre-planned Diversion Route,Proactive — Deploy before event start
FKID001207,unplanned,12.9098753,77.54994617,0.0,0.0,"Uttarahalli Main Road, VVR Supreme Residency, Chikkalsandra, Bengaluru, Karnataka. Pin-560061 (India)",,construction,False,2024-02-14 21:38:44.640000+00:00,,closed,yes,2024-02-15 08:03:00.059187+00,,,BESCOM work under progress so traffic movement  till tomorrow,,,Non-corridor,Low,,,,2024-02-14 21:39:56.523369+00:00,,1,FKUSR00701,FKUSR00001,,,,K.S. Layout,,FKKG000685,,,,FKUSR00701,2024-02-15 08:03:00.058714+00:00,,,,,,624.2569785666667,2hr+,21,2,2,0,0,1298,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,21,2,1.19805615,9,61,0,0,0,0,0,0,0,0,0,0,12.9098753,77.54994617,8.456352073313674,0,0.0,0,1,0,0,0,Non-corridor|construction,K.S. Layout|MISSING,"Uttarahalli Main Road, VVR Supreme Residency, Chikkalsandra, Bengaluru, Karnataka. Pin-560061 (India) ",0,planned,0,2hr+,1,CRITICAL,Planned Event,Pre-deploy 4 Officers + 1 Sub-Inspector,Full Lane Barricading — Deploy 6 hours before event,Activate Pre-planned Diversion Route,Proactive — Deploy before event start
FKID001499,planned,12.9392452,77.6951606,12.9392452,77.6951606,"Kadubeesanahalli Underpass, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)","Kadubeesanahalli Underpass, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",construction,True,2024-02-18 03:37:55.578000+00:00,2024-02-18 04:37:46+00,closed,no,2024-02-18 04:12:01.419663+00,,,kadubeesanahalli junction near cessna service rd sir [PERSON] work sir,,,ORR East 1,High,,,,2024-02-18 03:39:31.182274+00:00,,1,FKUSR00369,FKUSR00001,,,,HAL Old Airport,,FKKG000359,,,,FKUSR00369,2024-02-18 04:12:01.419039+00:00,,,,,,34.097350649999996,30min-2hr,3,6,2,1,1,217,0.7071067811865476,0.7071067811865476,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,3,6,1.5934045666666667,10,70,0,0,0,0,0,0,0,0,0,0,12.9392452,77.6951606,11.725755117938869,1,0.0,1,3,0,0,1,ORR East 1|construction,HAL Old Airport|MISSING,"Kadubeesanahalli Underpass, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India) Kadubeesanahalli Underpass, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",0,planned,0,2hr+,1,CRITICAL,Planned Event,Pre-deploy 4 Officers + 1 Sub-Inspector,Full Lane Barricading — Deploy 6 hours before event,Activate Pre-planned Diversion Route,Proactive — Deploy before event start
